À—À˜’º”√◊ ‘¥±»¿˝	0.00869318
∏˙◊Ÿ’º”√◊ ‘¥±»¿˝	0.317314
≥…œÒ’º”√◊ ‘¥±»¿˝	0
ø’œ–◊ ‘¥±»¿˝	0.673992
 ±º‰(√Î)	∫Ωº£∫≈	¬À≤®–±æ‡(√◊)	’Ê÷µ–±æ‡(√◊)	¬À≤®∑ΩŒª(∂»)	’Ê÷µ∑ΩŒª(∂»)	¬À≤®∏©—ˆ(∂»)	’Ê÷µ∏©—ˆ(∂»)	¬À≤®ÀŸ∂»(m/s)	’Ê÷µÀŸ∂»(m/s)	RCS	∫Ωº£◊¥Ã¨
1347.63	0	2220780.0000	2236135.4533	349.0390	349.0386	29.9832	29.9827	-4063.3713	-4063.2898	-1.0000	µ„∫Ωº£
1347.6340	1	2220960.0000	2236135.4533	349.0382	349.0386	29.9832	29.9827	-4063.3713	-4063.2898	-1.0000	µ„∫Ωº£
1348.0000	0	2220780.0000	2234648.4568	349.0390	349.0192	29.9832	30.0154	-4063.3713	-4062.4117	-1.0000	»°œ˚
1348.0000	1	2235521.6743	2234648.4568	349.0195	349.0192	30.0155	30.0154	-4063.3713	-4062.4117	-1.0000	¡Ÿ ±∫Ωº£
1348.0000	2	2211933.6488	2234648.4568	349.0190	349.0192	30.0153	30.0154	-4063.3713	-4062.4117	-1.0000	µ„∫Ωº£
1348.0510	3	2227080.0000	2234441.2716	349.0155	349.0165	30.0205	30.0200	-4062.4118	-4062.2892	-1.0000	µ„∫Ωº£
1348.2000	1	2234709.3254	2233836.0236	349.0091	349.0086	30.0337	30.0333	-4061.7448	-4061.9309	-1.0000	Œ»∂®∫Ωº£
1348.2340	2	2233904.1734	2233697.9145	349.0068	349.0068	30.0362	30.0363	-4063.3713	-4061.8490	-1.0000	¡Ÿ ±∫Ωº£
1348.4000	1	2233896.6574	2233023.6866	348.9981	348.9980	30.0515	30.0512	-4061.9692	-4061.4492	19.9595	Œ»∂®∫Ωº£
1348.4000	2	2233229.6618	2233023.6866	348.9982	348.9980	30.0510	30.0512	-4063.3231	-4061.4492	-1.0000	Œ»∂®∫Ωº£
1348.4000	3	2227080.0000	2233023.6866	349.0155	348.9980	30.0205	30.0512	-4062.4118	-4061.4492	-1.0000	»°œ˚
1348.6000	1	2233084.3554	2232211.4461	348.9875	348.9874	30.0693	30.0691	-4061.1278	-4060.9668	18.5416	Œ»∂®∫Ωº£
1348.6000	2	2232417.6746	2232211.4461	348.9875	348.9874	30.0688	30.0691	-4062.4477	-4060.9668	12.3322	Œ»∂®∫Ωº£
1348.6510	4	2224470.0000	2232004.3346	348.9847	348.9847	30.0746	30.0736	-4060.9668	-4060.8437	-1.0000	µ„∫Ωº£
1348.8000	1	2232272.1653	2231399.3021	348.9768	348.9768	30.0871	30.0870	-4061.0946	-4060.4836	20.3012	Œ»∂®∫Ωº£
1348.8000	2	2231605.3162	2231399.3021	348.9770	348.9768	30.0868	30.0870	-4062.3273	-4060.4836	16.2862	Œ»∂®∫Ωº£
1349.0000	1	2231460.0653	2230587.2548	348.9662	348.9662	30.1048	30.1049	-4060.6610	-4059.9996	20.5763	Œ»∂®∫Ωº£
1349.0000	2	2230792.9483	2230587.2548	348.9664	348.9662	30.1046	30.1049	-4061.8566	-4059.9996	16.7749	Œ»∂®∫Ωº£
1349.0000	4	2224470.0000	2230587.2548	348.9847	348.9662	30.0746	30.1049	-4060.9668	-4059.9996	-1.0000	»°œ˚
1349.0510	5	2223240.0000	2230380.1927	348.9626	348.9634	30.1108	30.1094	-4059.9997	-4059.8761	-1.0000	µ„∫Ωº£
1349.2000	2	2229980.7077	2229775.3045	348.9554	348.9555	30.1226	30.1228	-4060.8213	-4059.5149	12.4324	Œ»∂®∫Ωº£
1349.2000	1	2230648.1040	2229775.3045	348.9558	348.9555	30.1227	30.1228	-4059.6620	-4059.5149	19.1984	Œ»∂®∫Ωº£
1349.4000	2	2229168.5727	2228963.4511	348.9446	348.9448	30.1405	30.1407	-4060.4315	-4059.0294	13.6302	Œ»∂®∫Ωº£
1349.4000	1	2229836.2526	2228963.4511	348.9450	348.9448	30.1406	30.1407	-4059.2883	-4059.0294	19.4112	Œ»∂®∫Ωº£
