À—À˜’º”√◊ ‘¥±»¿˝	0
∏˙◊Ÿ’º”√◊ ‘¥±»¿˝	0.49858
≥…œÒ’º”√◊ ‘¥±»¿˝	0
ø’œ–◊ ‘¥±»¿˝	0.50142
 ±º‰(√Î)	∫Ωº£∫≈	¬À≤®–±æ‡(√◊)	’Ê÷µ–±æ‡(√◊)	¬À≤®∑ΩŒª(∂»)	’Ê÷µ∑ΩŒª(∂»)	¬À≤®∏©—ˆ(∂»)	’Ê÷µ∏©—ˆ(∂»)	¬À≤®ÀŸ∂»(m/s)	’Ê÷µÀŸ∂»(m/s)	RCS	∫Ωº£◊¥Ã¨
1347.6	0	2157030.0000	2236273.6113	349.0404	349.0404	29.9797	29.9797	-4063.3713	-4063.3712	-1.0000	µ„∫Ωº£
1347.6000	1	2157420.0000	2236273.6113	349.0403	349.0404	29.9797	29.9797	-4063.3713	-4063.3712	-1.0000	µ„∫Ωº£
1348.0440	0	2234882.9400	2234469.7077	349.0160	349.0169	30.0233	30.0193	-4063.3713	-4062.3060	-1.0000	¡Ÿ ±∫Ωº£
1348.0440	2	2194656.9016	2234469.7077	349.0130	349.0169	30.0239	30.0193	-4063.3713	-4062.3060	-1.0000	µ„∫Ωº£
1348.0780	1	2235134.7854	2234331.5925	349.0145	349.0151	30.0266	30.0224	-4063.3713	-4062.2243	-1.0000	¡Ÿ ±∫Ωº£
1348.2000	0	2234249.0792	2233836.0236	349.0095	349.0086	30.0302	30.0333	-4063.2105	-4061.9309	-1.0000	Œ»∂®∫Ωº£
1348.2340	1	2234500.9283	2233697.9145	349.0074	349.0068	30.0324	30.0363	-4063.1865	-4061.8490	-1.0000	Œ»∂®∫Ωº£
1348.4000	2	2233046.3798	2233023.6866	348.9980	348.9980	30.0529	30.0512	-4063.3713	-4061.4492	-1.0000	¡Ÿ ±∫Ωº£
1348.4340	0	2233298.8141	2232885.5939	348.9954	348.9962	30.0479	30.0542	-4062.8490	-4061.3673	0.0000	Œ»∂®∫Ωº£
1348.4680	1	2233550.6332	2232747.5092	348.9936	348.9944	30.0497	30.0573	-4062.8492	-4061.2853	0.0000	Œ»∂®∫Ωº£
1348.6440	0	2232445.7333	2232032.7606	348.9844	348.9851	30.0669	30.0730	-4062.6687	-4060.8606	0.0000	Œ»∂®∫Ωº£
1348.6780	1	2232697.5461	2231894.6946	348.9824	348.9833	30.0688	30.0760	-4062.6820	-4060.7784	0.0000	Œ»∂®∫Ωº£
1348.7120	2	2231778.6292	2231756.6312	348.9826	348.9815	30.0779	30.0791	-4063.3032	-4060.6963	-1.0000	Œ»∂®∫Ωº£
1348.8000	0	2231812.1103	2231399.3021	348.9764	348.9768	30.0823	30.0870	-4061.0235	-4060.4836	0.0000	Œ»∂®∫Ωº£
1348.8340	1	2232063.7910	2231261.2422	348.9745	348.9750	30.0845	30.0900	-4062.5526	-4060.4014	0.0000	Œ»∂®∫Ωº£
1348.8680	2	2231145.8272	2231123.1903	348.9734	348.9732	30.0904	30.0930	-4062.8428	-4060.3191	0.0000	Œ»∂®∫Ωº£
1349.0440	0	2230821.2746	2230408.6119	348.9634	348.9638	30.1056	30.1088	-4060.9387	-4059.8931	0.0000	Œ»∂®∫Ωº£
1349.0780	1	2231072.8710	2230270.5788	348.9615	348.9620	30.1081	30.1118	-4060.9454	-4059.8107	0.0000	Œ»∂®∫Ωº£
1349.1120	2	2230155.1588	2230132.5483	348.9592	348.9602	30.1107	30.1149	-4062.4187	-4059.7283	0.0000	Œ»∂®∫Ωº£
1349.2000	0	2230187.7567	2229775.3045	348.9553	348.9555	30.1205	30.1228	-4060.8519	-4059.5149	0.0000	Œ»∂®∫Ωº£
1349.2340	1	2230439.3249	2229637.2775	348.9535	348.9537	30.1232	30.1258	-4060.8674	-4059.4324	0.0000	Œ»∂®∫Ωº£
1349.2680	2	2229521.3352	2229499.2586	348.9518	348.9519	30.1247	30.1289	-4062.0586	-4059.3499	0.0000	Œ»∂®∫Ωº£
1349.4000	0	2229375.6654	2228963.4511	348.9447	348.9448	30.1392	30.1407	-4060.7691	-4059.0294	0.0000	Œ»∂®∫Ωº£
1349.4340	1	2229627.2055	2228825.4407	348.9429	348.9430	30.1420	30.1437	-4060.7948	-4058.9468	0.0000	Œ»∂®∫Ωº£
1349.4680	2	2228709.1633	2228687.4382	348.9414	348.9412	30.1428	30.1468	-4060.2684	-4058.8641	0.0000	Œ»∂®∫Ωº£
1349.6000	0	2228563.7180	2228151.6949	348.9341	348.9342	30.1576	30.1586	-4059.1778	-4058.5431	0.0000	Œ»∂®∫Ωº£
1349.6340	1	2228815.1279	2228013.7010	348.9323	348.9324	30.1605	30.1617	-4060.7148	-4058.4603	0.0000	Œ»∂®∫Ωº£
1349.6680	2	2227897.0467	2227875.7151	348.9302	348.9305	30.1609	30.1647	-4060.0503	-4058.3776	0.0000	Œ»∂®∫Ωº£
1349.8000	0	2227751.8702	2227340.0361	348.9235	348.9235	30.1759	30.1765	-4059.1231	-4058.0560	0.0000	Œ»∂®∫Ωº£
1349.8340	1	2228003.1927	2227202.0587	348.9216	348.9217	30.1789	30.1796	-4059.1246	-4057.9732	0.0000	Œ»∂®∫Ωº£
1349.8680	2	2227085.0046	2227064.0894	348.9196	348.9198	30.1796	30.1826	-4059.8595	-4057.8903	0.0000	Œ»∂®∫Ωº£
1350.0000	0	2226940.0953	2226528.4747	348.9128	348.9128	30.1941	30.1945	-4059.0644	-4057.5682	0.0000	Œ»∂®∫Ωº£
1350.0340	1	2227191.3590	2226390.5140	348.9109	348.9110	30.1971	30.1975	-4059.0699	-4057.4852	0.0000	Œ»∂®∫Ωº£
1350.0680	2	2226273.0226	2226252.5612	348.9090	348.9091	30.1975	30.2006	-4059.6845	-4057.4021	0.0000	Œ»∂®∫Ωº£
1350.2000	0	2226128.4682	2225717.0110	348.9020	348.9021	30.2123	30.2124	-4057.4955	-4057.0796	0.0000	Œ»∂®∫Ωº£
1350.2340	1	2226379.5999	2225579.0669	348.9002	348.9002	30.2153	30.2155	-4059.0105	-4056.9964	0.0000	Œ»∂®∫Ωº£
1350.2680	2	2225461.1097	2225441.1307	348.8984	348.8984	30.2158	30.2185	-4059.5197	-4056.9133	0.0000	Œ»∂®∫Ωº£
1350.4000	0	2225316.9475	2224905.6451	348.8913	348.8913	30.2304	30.2304	-4057.4621	-4056.5902	0.0000	Œ»∂®∫Ωº£
1350.4340	1	2225567.9846	2224767.7176	348.8895	348.8895	30.2335	30.2334	-4057.4399	-4056.5069	0.0000	Œ»∂®∫Ωº£
1350.4680	2	2224649.3575	2224629.7981	348.8879	348.8877	30.2344	30.2365	-4057.8581	-4056.4236	0.0000	Œ»∂®∫Ωº£
1350.6000	0	2224505.5078	2224094.3771	348.8806	348.8806	30.2485	30.2483	-4057.4231	-4056.1000	0.0000	Œ»∂®∫Ωº£
1350.6340	1	2224756.4761	2223956.4663	348.8787	348.8788	30.2516	30.2514	-4057.4045	-4056.0166	0.0000	Œ»∂®∫Ωº£
1350.6680	2	2223837.7181	2223818.5635	348.8776	348.8769	30.2528	30.2545	-4057.7435	-4055.9331	0.0000	Œ»∂®∫Ωº£
1350.8000	0	2223694.2058	2223283.2073	348.8698	348.8698	30.2665	30.2663	-4055.8714	-4055.6090	0.0000	Œ»∂®∫Ωº£
1350.8340	1	2223945.0497	2223145.3132	348.8680	348.8680	30.2697	30.2694	-4057.3634	-4055.5255	0.0000	Œ»∂®∫Ωº£
1350.8680	2	2223026.1636	2223007.4271	348.8670	348.8662	30.2708	30.2724	-4057.6348	-4055.4419	0.0000	Œ»∂®∫Ωº£
1351.0000	0	2222883.0105	2222472.1357	348.8591	348.8591	30.2845	30.2843	-4055.8540	-4055.1173	0.0000	Œ»∂®∫Ωº£
1351.0340	1	2223133.7601	2222334.2583	348.8572	348.8572	30.2877	30.2873	-4055.8094	-4055.0336	0.0000	Œ»∂®∫Ωº£
1351.0680	2	2222214.6957	2222196.3890	348.8560	348.8554	30.2891	30.2904	-4057.5251	-4054.9499	0.0000	Œ»∂®∫Ωº£
1351.2000	0	2222071.8984	2221661.1626	348.8483	348.8483	30.3026	30.3023	-4055.8297	-4054.6247	0.0000	Œ»∂®∫Ωº£
1351.2340	1	2222322.5776	2221523.3020	348.8464	348.8465	30.3058	30.3053	-4055.7896	-4054.5409	0.0000	Œ»∂®∫Ωº£
1351.2680	2	2221403.3686	2221385.4493	348.8448	348.8446	30.3073	30.3084	-4055.9067	-4054.4571	0.0000	Œ»∂®∫Ωº£
